2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Poi with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Poi with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#UnextendedPlace with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#UnextendedPlace with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#TrainStation with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#TrainStation with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Airport with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Airport with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Museum with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Museum with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#TouristAttraction with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#TouristAttraction with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Beach with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Beach with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#CoastalLandform with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#CoastalLandform with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Lake with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Lake with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#BodyOfWater with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#BodyOfWater with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#NaturalDepression with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#NaturalDepression with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Valley with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Valley with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Theater with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Theater with geometry
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:89 - Proccesing class http://ontology.unister.de/ontology#Castle with list
2015-07-20 15:56:19 INFO  AveragePointsPerInstance:109 - Proccesing class http://ontology.unister.de/ontology#Castle with geometry
